internal_tx_id,amount,date,customer_id,location_id,external_tx_id,gross_amount,fee,net_amount,description,_merge
INT_TX_026409,113.65,2024-08-01,CUST_008,LOC_004,EXT_TX_005393,116.48,2.83,113.65,Payment from CUST_008,both
INT_TX_032067,94.41,2024-08-01,CUST_036,LOC_002,EXT_TX_031132,103.6,9.14,94.46,Payment from CUST_036,both
INT_TX_048981,465.48,2024-08-01,CUST_047,LOC_008,EXT_TX_045999,471.99,6.55,465.44,Payment from CUST_047,both
INT_TX_001050,124.28,2024-08-01,CUST_055,LOC_002,EXT_TX_038096,128.76,4.53,124.23,Payment from CUST_055,both
INT_TX_020296,412.16,2024-08-01,CUST_067,LOC_011,EXT_TX_012451,414.74,2.59,412.15,Payment from CUST_067,both
INT_TX_032829,272.89,2024-08-01,CUST_086,LOC_015,EXT_TX_009381,278.13,5.28,272.85,Payment from CUST_086,both
INT_TX_004139,192.84,2024-08-01,CUST_095,LOC_005,EXT_TX_013116,194.78,1.94,192.84,Payment from CUST_095,both
INT_TX_031466,304.96,2024-08-02,CUST_004,LOC_020,EXT_TX_041502,311.14,6.22,304.92,Payment from CUST_004,both
INT_TX_003843,374.43,2024-08-02,CUST_011,LOC_013,EXT_TX_042868,380.8,6.4,374.4,Payment from CUST_011,both
INT_TX_028489,173.72,2024-08-02,CUST_012,LOC_018,EXT_TX_026296,175.08,1.39,173.69,Payment from CUST_012,both
INT_TX_013653,439.06,2024-08-02,CUST_020,LOC_016,EXT_TX_014708,442.48,3.44,439.04,Payment from CUST_020,both
INT_TX_023808,189.16,2024-08-02,CUST_065,LOC_003,EXT_TX_034704,189.66,0.53,189.13,Payment from CUST_065,both
INT_TX_011028,129.58,2024-08-02,CUST_080,LOC_010,EXT_TX_008586,136.38,6.77,129.61,Payment from CUST_080,both
INT_TX_036573,205.52,2024-08-03,CUST_018,LOC_016,EXT_TX_012247,210.66,5.15,205.51,Payment from CUST_018,both
INT_TX_007140,98.04,2024-08-03,CUST_020,LOC_016,EXT_TX_032331,103.25,5.18,98.07,Payment from CUST_020,both
INT_TX_024460,429.03,2024-08-03,CUST_025,LOC_014,EXT_TX_012459,437.41,8.35,429.06,Payment from CUST_025,both
INT_TX_030611,93.83,2024-08-03,CUST_080,LOC_005,EXT_TX_009241,102.28,8.48,93.8,Payment from CUST_080,both
INT_TX_022180,101.55,2024-08-03,CUST_097,LOC_014,EXT_TX_015463,107.08,5.57,101.51,Payment from CUST_097,both
INT_TX_015936,327.81,2024-08-04,CUST_029,LOC_020,EXT_TX_019056,336.31,8.5,327.81,Payment from CUST_029,both
INT_TX_047147,447.87,2024-08-04,CUST_075,LOC_017,EXT_TX_037773,452.48,4.57,447.91,Payment from CUST_075,both
INT_TX_003642,122.69,2024-08-04,CUST_078,LOC_011,EXT_TX_006527,124.14,1.45,122.69,Payment from CUST_078,both
INT_TX_003302,466.57,2024-08-04,CUST_086,LOC_008,EXT_TX_033413,472.5,5.9,466.6,Payment from CUST_086,both
INT_TX_008600,278.98,2024-08-04,CUST_089,LOC_010,EXT_TX_023321,286.17,7.14,279.03,Payment from CUST_089,both
INT_TX_045857,161.34,2024-08-05,CUST_017,LOC_013,EXT_TX_039849,165.74,4.4,161.34,Payment from CUST_017,both
INT_TX_037007,98.2,2024-08-05,CUST_022,LOC_015,EXT_TX_040517,99.12,0.91,98.21,Payment from CUST_022,both
INT_TX_037208,396.97,2024-08-05,CUST_083,LOC_006,EXT_TX_015252,400.86,3.88,396.98,Payment from CUST_083,both
INT_TX_033438,125.4,2024-08-06,CUST_008,LOC_008,EXT_TX_038433,126.79,1.4,125.39,Payment from CUST_008,both
INT_TX_006848,71.55,2024-08-06,CUST_019,LOC_003,EXT_TX_029848,80.04,8.54,71.5,Payment from CUST_019,both
INT_TX_031213,107.59,2024-08-06,CUST_038,LOC_019,EXT_TX_015936,113.4,5.79,107.61,Payment from CUST_038,both
INT_TX_007267,129.61,2024-08-06,CUST_039,LOC_014,EXT_TX_026358,133.95,4.29,129.66,Payment from CUST_039,both
INT_TX_020268,144.36,2024-08-06,CUST_089,LOC_013,EXT_TX_008964,152.07,7.74,144.33,Payment from CUST_089,both
INT_TX_000219,58.75,2024-08-06,CUST_090,LOC_006,EXT_TX_002849,64.66,5.88,58.78,Payment from CUST_090,both
INT_TX_034440,301.93,2024-08-06,CUST_090,LOC_008,EXT_TX_005651,303.85,1.93,301.92,Payment from CUST_090,both
INT_TX_031787,452.79,2024-08-06,CUST_093,LOC_003,EXT_TX_039377,455.85,3.01,452.84,Payment from CUST_093,both
INT_TX_039151,281.99,2024-08-07,CUST_001,LOC_005,EXT_TX_012784,286.41,4.41,282.0,Payment from CUST_001,both
INT_TX_031815,458.1,2024-08-07,CUST_014,LOC_002,EXT_TX_022867,466.34,8.2,458.14,Payment from CUST_014,both
INT_TX_014962,122.5,2024-08-07,CUST_049,LOC_004,EXT_TX_031395,125.37,2.88,122.49,Payment from CUST_049,both
INT_TX_036978,199.58,2024-08-07,CUST_068,LOC_003,EXT_TX_024214,203.39,3.82,199.57,Payment from CUST_068,both
INT_TX_028011,448.2,2024-08-07,CUST_083,LOC_008,EXT_TX_003070,451.8,3.6,448.2,Payment from CUST_083,both
INT_TX_041457,50.81,2024-08-07,CUST_088,LOC_014,EXT_TX_001151,60.06,9.28,50.78,Payment from CUST_088,both
